district,subject of transaction,total land transfer area square meters,urban land use zoning,non-urban land Use zoning,non-urban land use planning,transaction year and month,number of transaction pens,transfer level,total floors,building type,main use,main building material,year and month of completion of construction,total area of building transfer square meters,construction status-room,construction status-hall,construction status-bathroom,construction status-compartment,with or without management organization,total price,unit price per square meter,parking category,Car displacement to total area square meters,total parking price,numbers
Banqiao,House and land (land + building),25.44,Living,,,1080618,ground3 house1 park0,2 ,4,apartment,living,reinforced concrete construction,,73.11,3,2,1,Yes,No,4500000,61551.0,,0.0,0,RPTWNLLMPHOFFAF96CA
Banqiao,House and land (land + building),28.5,Living,,,1080531,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,660716.0,95.88,4,1,2,Yes,No,10500000,109512.0,,0.0,0,RPTOMLPLPHOFFAF98CA
Banqiao,House and land (land + building),26.5,Living,,,1080624,ground1 house1 park0,4 ,4,apartment,living,strengthen brickwork,630308.0,83.66,2,1,1,Yes,No,8600000,102797.0,,0.0,0,RPWRMLOLPHOFFAF86CA
Banqiao,House and land (land + building),37.5,Living,,,1080622,ground1 house1 park0,3 ,4,apartment,living,strengthen brickwork,,84.98,3,2,1,Yes,No,10000000,117675.0,,0.0,0,RPTQMLNLPHOFFAF98CA
Banqiao,House and land (land + building),24.0,Living,,,1080529,ground1 house1 park0,3,4,apartment,living,strengthen brickwork,,56.22,3,2,1,Yes,No,6500000,115617.0,,0.0,0,RPOOMLPLPHOFFAF48CA
Banqiao,House and land (land + building),28.75,Living,,,1080613,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,,68.69,5,1,1,Yes,No,7000000,101907.0,,0.0,0,RPSNOLKMPHOFFAF58CA
Banqiao,House and land (land + building),27.75,Living,,,1080623,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,631226.0,102.19,3,2,1,Yes,No,8350000,81711.0,,0.0,0,RPVQMLLJQHOFFAF88CA
Banqiao,House and land (land + building),27.5,Living,,,1080108,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,,66.9,2,2,1,Yes,No,7960000,118984.0,,0.0,0,RPUNMLRJQHOFFAF09CA
Xinzhuang,House and land (land + building),21.0,Living,,,1080621,ground1 house1 park0,2 ,4,apartment,living,reinforced concrete construction,660825.0,69.17,3,1,2,Yes,No,6350000,91803.0,,0.0,0,RPWOMLPLPHOFFBF76CA
Xinzhuang,House and land (land + building),20.2,Living,,,1080711,ground1 house1 park0,1 ,4,apartment,business,reinforced concrete construction,680808.0,64.96,1,2,1,Yes,No,7640000,117611.0,,0.0,0,RPSNMLQLPHOFFBF98CA
Xindian,House and land (land + building),26.26,Other,,,1080614,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,700924.0,97.34,3,2,2,Yes,No,7500000,77050.0,,0.0,0,RPPOMLPLPHOFFCF78CA
Xizhi,House and land (land + building) + parking space,90.83,,hillside conservation area,hillside conservation,1080619,ground1 house1 park1,"1,2,-1",4,apartment,living,reinforced concrete construction,850209.0,191.99,4,2,2,Yes,Yes,10400000,54169.0,parking area,0.0,0,RPROMLTKQHOFFDF86CA
Xizhi,House and land (land + building),161.42,,rural area,rural,1080712,ground1 house1 park0,"1,2,3,4",4,house,other,reinforced concrete construction,980921.0,411.69,3,3,3,Yes,No,25000000,60725.0,,0.0,0,RPWOMLMJQHOFFDF56CA
Sanzhong,House and land (land + building),24.5,Living,,,1080612,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,610601.0,65.21,3,1,1,Yes,No,8600000,131882.0,,0.0,0,RPROMLPLPHOFFGF76CA
Luzhou,House and land (land + building),21.64,Living,,,1080627,ground1 house1 park0,4 ,4,apartment,living,reinforced concrete construction,661201.0,78.0,3,2,2,Yes,No,6000000,76923.0,,0.0,0,RPTNMLQLPHOFFGF96CA
Sanzhong,House and land (land + building),23.75,Living,,,1080612,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,660714.0,66.0,2,2,1,Yes,No,8920000,135152.0,,0.0,0,RPVNMLTLPHOFFGF47CA
Sanzhong,House and land (land + building),35.26,Living,,,1080621,ground1 house1 park0,3 ,4,apartment,living,reinforced concrete construction,680721.0,89.0,2,2,1,Yes,No,7500000,84270.0,,0.0,0,RPTPMLQKQHOFFGF17CA
Yonghe,House and land (land + building),54.27,Business,,,1080622,ground1 house2 park0,2,4,vendor,living,strengthen brickwork,590915.0,171.9,0,0,0,No,No,59000000,343223.0,,0.0,0,RPUNMLRLPHOFFHF27CA
Zhonghe,House and land (land + building),35.75,Living,,,1080624,ground1 house1 park0,2 ,4,apartment,living,strengthen brickwork,641209.0,86.16,2,2,1,Yes,No,7800000,90529.0,,0.0,0,RPPQMLLMPHOFFHF56CA
Zhonghe,House and land (land + building),28.37,Living,,,1080421,ground1 house1 park0,4,4,apartment,other,reinforced concrete construction,670130.0,60.1,3,0,3,Yes,No,7500000,124792.0,,0.0,0,RPPOMLMLQHOFFHF09CA
Banqiao,House and land (land + building),27.0,Living,,,1080516,ground1 house1 park0,2 ,4,apartment,living,reinforced concrete construction,620512.0,89.32,3,2,1,Yes,No,10800000,120914.0,,0.0,0,RPRPMLLJQHOFFAF48DA
Xindian,House and land (land + building),32.34,Living,,,1080625,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,671202.0,100.45,3,2,2,Yes,No,11700000,116476.0,,0.0,0,RPQNMLQLPHOFFCF98DA
Xindian,House and land (land + building),34.58,Living,,,1080610,ground2 house1 park0,2,4,apartment,living,reinforced concrete construction,660905.0,63.2,3,2,1,Yes,No,8660000,137025.0,,0.0,0,RPPNMLSLPHOFFCF09DA
Banqiao,House and land (land + building),27.25,Living,,,1080626,ground1 house1 park0,2 ,4,apartment,living,strengthen brickwork,,92.82,8,0,8,Yes,No,10200000,109890.0,,0.0,0,RPTPMLMJRHOFFAF98EA
Banqiao,House and land (land + building),35.75,Living,,,1080715,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,,72.92,3,1,1,Yes,No,12000000,164564.0,,0.0,0,RPQOMLPLPHOFFAF88EA
Xinzhuang,House and land (land + building),24.37,Living,,,1080630,ground1 house1 park0,1 ,4,apartment,living,strengthen brickwork,640620.0,82.72,4,1,1,Yes,No,3387777,40955.0,,0.0,0,RPVPMLOLPHOFFBF86EA
Zhonghe,House and land (land + building),29.83,Living,,,1080623,ground1 house1 park0,2 ,4,apartment,living,reinforced concrete construction,660903.0,77.98,3,2,1,Yes,No,8400000,107720.0,,0.0,0,RPQNMLRLPHOFFHF96DA
Xizhi,House and land (land + building) + parking space,79.44,,hillside conservation area,hillside conservation,1080326,ground1 house1 park1,"1,2,3,4",4,house,other,reinforced concrete construction,1020121.0,220.05,4,2,4,Yes,Yes,20000000,90888.0,parking area,14.99,0,RPTOMLQLPHOFFDF86DA
Yinge,House and land (land + building),24.91,Living,,,1080628,ground1 house1 park0,3 ,4,apartment,living,reinforced concrete construction,,77.81,3,1,1,Yes,No,3000000,38555.0,,0.0,0,RPTUMLMJQHOFFIF37CA
Tree,House and land (land + building),16.12,Living,,,1080530,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,660505.0,49.5,2,1,1,Yes,No,4100000,82828.0,,0.0,0,RPTOMLQLPHOFFIF27CA
Tree,House and land (land + building),125.75,Living,,,1080501,ground2 house1 park0,2 ,4,apartment,living,reinforced concrete construction,690129.0,92.89,3,2,1,Yes,No,7100000,76434.0,,0.0,0,RPOPMLPLPHOFFIF76CA
Zhonghe,House and land (land + building),20.25,Living,,,1080710,ground1 house1 park0,2,4,apartment,living,strengthen brickwork,580310.0,64.54,3,3,3,Yes,No,8100000,125504.0,,0.0,0,RPQNMLSLPHOFFHF96CA
Yonghe,House and land (land + building),27.14,Living,,,1080629,ground1 house1 park0,2,4,apartment,living,other,630615.0,80.26,3,2,1,Yes,No,8400000,104660.0,,0.0,0,RPPNMLTLPHOFFHF96CA
Zhonghe,House and land (land + building),43.35,Living,,,1080614,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,661115.0,111.0,3,2,2,Yes,No,10750000,96847.0,,0.0,0,RPVNMLQLPHOFFHF27CA
Sanzhong,House and land (land + building),20.0,Business,,,1080615,ground1 house1 park0,3 ,4,apartment,living,strengthen brickwork,650703.0,67.0,3,2,1,Yes,No,5600000,83582.0,,0.0,0,RPPNMLNLQHOFFGF98CA
Luzhou,House and land (land + building),43.42,Living,,,1080616,ground1 house1 park0,2 ,4,apartment,living,reinforced concrete construction,661221.0,80.0,2,2,2,Yes,No,8000000,100000.0,,0.0,0,RPTPMLLJQHOFFGF56CA
Sanzhong,House and land (land + building),19.75,Living,,,1080702,ground1 house1 park0,4 ,4,apartment,living,strengthen brickwork,650714.0,67.0,2,1,1,Yes,No,2550000,38060.0,,0.0,0,RPXOMLQLPHOFFGF47CA
Sanzhong,House and land (land + building),20.08,Living,,,1080624,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,620117.0,56.44,4,2,4,Yes,No,5400000,95677.0,,0.0,0,RPTPMLQLPHOFFGF17CA
Freshwater,House and land (land + building),32.37,Living,,,1080629,ground2 house1 park0,4 ,4,apartment,living,reinforced concrete construction,690726.0,84.67,3,2,2,Yes,No,3700000,43699.0,,0.0,0,RPUPMLLJQHOFFEF09CA
Xindian,House and land (land + building),32.66,Living,,,1080623,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,670707.0,87.91,3,2,2,Yes,No,14000000,159254.0,,0.0,0,RPRNMLQLPHOFFCF98CA
Xinzhuang,House and land (land + building),21.12,Living,,,1080711,ground2 house1 park0,4 ,4,apartment,living,reinforced concrete construction,650612.0,72.28,2,2,2,Yes,No,6800000,94079.0,,0.0,0,RPUOMLKMPHOFFBF78CA
Xinzhuang,House and land (land + building),36.64,Living,,,1080708,ground3 house1 park0,1 ,4,apartment,living,strengthen brickwork,630722.0,103.37,3,2,2,Yes,No,15600000,150914.0,,0.0,0,RPSOMLTLPHOFFBF76CA
Banqiao,House and land (land + building),21.8,Living,,,1080529,ground1 house1 park0,4 ,4,apartment,living,strengthen brickwork,,79.3,3,1,1,Yes,No,4200000,52963.0,,0.0,0,RPWOMLMJQHOFFAF88CA
Banqiao,House and land (land + building),25.75,Living,,,1080610,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,600909.0,78.87,3,2,2,Yes,No,6100000,77342.0,,0.0,0,RPQQMLKMPHOFFAF48CA
Banqiao,House and land (land + building),22.5,Living,,,1080626,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,670317.0,81.85,2,1,1,Yes,No,6800000,83079.0,,0.0,0,RPPOMLPLPHOFFAF58CA
Banqiao,House and land (land + building),36.25,Living,,,1080709,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,650527.0,105.13,3,2,2,Yes,No,9000000,85608.0,,0.0,0,RPPQMLPLPHOFFAF78CA
Banqiao,House and land (land + building),19.02,Living,,,1080513,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,,57.92,4,3,2,Yes,No,4500000,77693.0,,0.0,0,RPWNMLQLPHOFFAF66CA
Banqiao,House and land (land + building),12.5,Living,,,1080708,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,641015.0,48.73,3,1,1,Yes,No,5300000,108763.0,,0.0,0,RPTNMLTLPHOFFAF66CA
Banqiao,House and land (land + building),28.25,Living,,,1071213,ground1 house1 park0,2,4,apartment,living,strengthen brickwork,,76.28,3,2,2,Yes,No,8600000,112743.0,,0.0,0,RPVNMLKMPHOFFAF68CA
Taishan,House and land (land + building),32.56,Living,,,1080613,ground1 house1 park0,4 ,4,apartment,living,reinforced concrete construction,690118.0,84.5,2,2,1,Yes,No,4700000,55621.0,,0.0,0,RPQOMLKMPHOFFBF38CA
Xinzhuang,House and land (land + building),20.02,Living,,,1080606,ground1 house1 park0,4 ,4,apartment,living,strengthen brickwork,651013.0,74.4,3,2,1,Yes,No,5500000,73925.0,,0.0,0,RPRNMLPJQHOFFBF68CA
Xindian,House and land (land + building) + parking space,316.6,,hillside conservation area,hillside conservation,1070803,ground10 house1 park1,"1,2,3,4",4,house,other,other,1071121.0,248.39,3,2,3,Yes,Yes,19800000,84147.0,parking area,33.28,1700000,RPOOMLMKQHOFFCF38CA
Wanli,House and land (land + building),30.27,,rural area,rural,1080716,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,690627.0,107.54,3,2,1,Yes,No,1800000,16738.0,,0.0,0,RPPPMLNLQHOFFDF88CA
Luzhou,House and land (land + building),26.89,Living,,,1080620,ground1 house1 park0,2 ,4,apartment,living,reinforced concrete construction,670318.0,82.0,2,1,1,Yes,No,6500000,79268.0,,0.0,0,RPQOMLTLPHOFFGF07CA
Sanzhong,House and land (land + building),30.0,Living,,,1080702,ground1 house1 park0,1  ,4,vendor,other,reinforced concrete construction,681127.0,85.0,0,0,0,No,No,17000000,200000.0,,0.0,0,RPWOMLLJQHOFFGF76CA
Sanzhong,House and land (land + building),22.5,Living,,,1080707,ground1 house1 park0,4 ,4,apartment,living,reinforced concrete construction,660924.0,70.0,5,3,2,Yes,No,8000000,114286.0,,0.0,0,RPUPMLQKQHOFFGF27CA
Yonghe,House and land (land + building),30.75,Living,,,1080630,ground1 house1 park0,3,4,apartment,other,other,640204.0,81.98,3,2,1,Yes,No,8300000,101244.0,,0.0,0,RPTPMLMJQHOFFHF76CA
Zhonghe,House and land (land + building),15.78,Living,,,1080614,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,611218.0,44.55,2,2,1,Yes,No,5500000,123457.0,,0.0,0,RPPNMLSJQHOFFHF76CA
Zhonghe,House and land (land + building),24.56,Living,,,1080604,ground1 house1 park0,1,4,apartment,other,other,670107.0,64.81,3,2,1,Yes,No,11040000,170344.0,,0.0,0,RPWOMLOJQHOFFHF17CA
Tree,House and land (land + building),31.32,Living,,,1080620,ground1 house1 park0,2 ,4,apartment,living,reinforced concrete construction,,94.02,3,2,1,Yes,No,7980000,84876.0,,0.0,0,RPWOMLKMPHOFFIF07CA
Tree,House and land (land + building),30.3,Living,,,1080615,ground1 house1 park0,4 ,4,apartment,living,reinforced concrete construction,650218.0,86.32,7,7,7,Yes,No,6300000,72984.0,,0.0,0,RPTPMLPJQHOFFIF17CA
Banqiao,House and land (land + building),31.0,Living,,,1080615,ground1 house1 park0,4 ,4,apartment,living,reinforced concrete construction,,83.13,3,2,1,Yes,No,8000000,96235.0,,0.0,0,RPQNOLKMPHOFFAF48DA
Yinge,House and land (land + building),132.21,Living,,,1080715,ground4 house1 park0,"1,2,3,4",4,house,other,reinforced concrete construction,1011113.0,299.54,4,2,2,Yes,Yes,22500000,75115.0,,0.0,0,RPSOMLQLPHOFFIF37EA
Zhonghe,House and land (land + building),99.22,Living,,,1080516,ground1 house1 park0,"1,2,3,4",4,house,business,strengthen brickwork,580402.0,193.2,3,2,2,Yes,No,16000000,82816.0,,0.0,0,RPQNMLKMPHOFFHF09EA
Freshwater,House and land (land + building),35.57,Living,,,1080709,ground1 house1 park0,3 ,4,apartment,living,reinforced concrete construction,690711.0,90.9,3,1,1,Yes,No,4200000,46205.0,,0.0,0,RPUOMLMJQHOFFEF66EA
Yinge,House and land (land + building) + parking space,119.92,Living,,,1080626,ground1 house1 park2,"1,2,3,4",4,house,other,reinforced concrete construction,1060526.0,375.91,5,4,4,Yes,Yes,31270000,83185.0,parking area,54.68,0,RPVPMLLMPHOFFIF17CA
Yonghe,House and land (land + building),21.35,Living,,,1080620,ground2 house1 park0,4,4,apartment,living,strengthen brickwork,631228.0,51.89,3,2,2,Yes,No,2890000,55695.0,,0.0,0,RPSOMLMJQHOFFHF56CA
Sanzhong,House and land (land + building),25.25,Living,,,1080622,ground1 house1 park0,4 ,4,apartment,living,reinforced concrete construction,660423.0,69.0,3,2,1,Yes,No,7000000,101449.0,,0.0,0,RPOSMLPJQHOFFGF76CA
Sanzhong,House and land (land + building),22.0,Living,,,1080629,ground1 house1 park0,3 ,4,apartment,living,reinforced concrete construction,670401.0,83.0,3,2,2,Yes,No,7950000,95783.0,,0.0,0,RPOOMLKMPHOFFGF68CA
Freshwater,House and land (land + building),29.44,Living,,,1080617,ground2 house1 park0,2 ,4,apartment,living,reinforced concrete construction,691009.0,89.42,3,2,1,Yes,No,4600000,51443.0,,0.0,0,RPRNMLMLQHOFFEF88CA
Xinzhuang,House and land (land + building) + parking space,98.28,Factory,,,1080703,ground1 house1 park2,"1,2,3,4",4,house,other,reinforced concrete construction,981119.0,370.89,3,4,4,Yes,Yes,24500000,66057.0,parking area,0.0,0,RPVPMLSJQHOFFBF96CA
Xinzhuang,House and land (land + building),31.59,Living,,,1080621,ground1 house1 park0,3 ,4,apartment,living,strengthen brickwork,630815.0,78.43,3,2,1,Yes,No,7000000,89252.0,,0.0,0,RPXQMLTLPHOFFBF47CA
Banqiao,House and land (land + building),3.69,Business,,,1080703,ground1 house1 park0,2,4,apartment,living,strengthen brickwork,640328.0,14.52,1,0,1,Yes,No,1700000,117080.0,,0.0,0,RPOPMLLMPHOFFAF28CA
Banqiao,House and land (land + building),22.5,Living,,,1080629,ground1 house1 park0,3,4,apartment,living,strengthen brickwork,,58.37,2,1,1,Yes,No,6500000,111359.0,,0.0,0,RPUPMLKMPHOFFAF78CA
Banqiao,House and land (land + building),21.5,Living,,,1080628,ground1 house1 park0,4 ,4,apartment,living,strengthen brickwork,620727.0,73.56,2,2,1,Yes,No,7580000,103045.0,,0.0,0,RPQQMLTLPHOFFAF66CA
Tucheng,House and land (land + building),23.76,Living,,,1080705,ground1 house1 park0,3 ,4,apartment,living,reinforced concrete construction,680412.0,76.79,3,2,1,Yes,No,7050000,91809.0,,0.0,0,RPVOMLTLPHOFFAF96CA
Tucheng,House and land (land + building),28.19,Living,,,1080707,ground1 house1 park0,4 ,4,apartment,living,reinforced concrete construction,,74.63,3,2,1,Yes,No,6680000,89508.0,,0.0,0,RPQNMLKMPHOFFAF18CA
Tucheng,House and land (land + building),21.82,Living,,,1080618,ground1 house1 park0,2 ,4,apartment,living,reinforced concrete construction,671107.0,64.66,2,1,1,Yes,No,5680000,87844.0,,0.0,0,RPPPMLLMPHOFFAF38CA
Banqiao,House and land (land + building),26.75,Living,,,1080711,ground2 house1 park0,3,4,apartment,living,strengthen brickwork,,81.48,3,2,1,Yes,No,7600000,93274.0,,0.0,0,RPQPMLLMPHOFFAF48CA
Tucheng,House and land (land + building),32.93,Living,,,1080620,ground1 house1 park0,4 ,4,apartment,living,reinforced concrete construction,680210.0,100.52,5,2,2,Yes,No,10500000,104457.0,,0.0,0,RPOQMLPJQHOFFAF58CA
Banqiao,House and land (land + building),23.25,Living,,,1080702,ground1 house1 park0,3 ,4,apartment,living,reinforced concrete construction,,67.31,3,2,1,Yes,No,6500000,96568.0,,0.0,0,RPSOMLSJQHOFFAF09CA
Banqiao,House and land (land + building),21.25,Living,,,1080618,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,640606.0,61.6,2,1,1,Yes,No,6400000,103896.0,,0.0,0,RPQOMLOKQHOFFAF58CA
Banqiao,House and land (land + building),31.25,Living,,,1080629,ground1 house1 park0,2,4,apartment,living,strengthen brickwork,,85.41,4,2,1,Yes,No,10800000,126449.0,,0.0,0,RPTQMLMKQHOFFAF88CA
Sanzhong,House and land (land + building),17.75,Business,,,1080710,ground1 house1 park0,2 ,4,apartment,living,strengthen brickwork,630412.0,68.99,2,2,1,Yes,No,6750000,97840.0,,0.0,0,RPTNMLLMPHOFFGF56CA
Sanzhong,House and land (land + building),25.75,Business,,,1080605,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,680112.0,73.0,3,0,3,Yes,No,8000000,109589.0,,0.0,0,RPXQMLLMPHOFFGF27CA
Sanzhong,House and land (land + building),24.75,Living,,,1080702,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,600516.0,87.13,6,3,2,Yes,No,7950000,91243.0,,0.0,0,RPWOMLLMPHOFFGF96CA
Zhonghe,House and land (land + building),49.79,Living,,,1060916,ground6 house1 park0,1 ,4,apartment,living,reinforced concrete construction,661219.0,74.76,4,1,1,Yes,No,9000000,120385.0,,0.0,0,RPTSMLRLQHOFFHF77CA
Tucheng,House and land (land + building),13.56,Living,,,1080629,ground2 house1 park0,3 ,4,apartment,living,reinforced concrete construction,681026.0,42.98,3,1,1,Yes,No,2370000,55142.0,,0.0,0,RPTNMLNJRHOFFAF88EA
Zhonghe,House and land (land + building),21.5,Living,,,1080606,ground1 house1 park0,3 ,4,apartment,living,reinforced concrete construction,670421.0,78.86,3,2,1,Yes,No,8350000,105884.0,,0.0,0,RPTQMLKMPHOFFHF96DA
Sanzhong,House and land (land + building),23.25,Living,,,1080629,ground1 house1 park0,2 ,4,apartment,living,reinforced concrete construction,650116.0,76.96,3,2,1,Yes,No,7150000,92905.0,,0.0,0,RPSOMLLJQHOFFGF09DA
Xindian,House and land (land + building),30.53,Living,,,1080622,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,690620.0,56.02,3,2,1,Yes,No,12000000,214209.0,,0.0,0,RPPOMLRJQHOFFCF98DA
